"filename", "language", "Java", "Markdown", "HTML", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Filtrador.class", "Java", -17, 0, 0, 0, 0, 0, 0, 0, 0, -17
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Longevo.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Omnivoro.class", "Java", -30, 0, 0, 0, 0, 0, 0, 0, 0, -30
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\OmnivoroComedido.class", "Java", -21, 0, 0, 0, 0, 0, 0, 0, 0, -21
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\OmnivoroLongevo.class", "Java", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\OmnivoroVoraz.class", "Java", -21, 0, 0, 0, 0, 0, 0, 0, 0, -21
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Voraz.class", "Java", -17, 0, 0, 0, 0, 0, 0, 0, 0, -17
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Pez.class", "Java", -73, 0, 0, 0, 0, 0, 0, 0, 0, -73
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\PezMar.class", "Java", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\PezRio.class", "Java", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\Bagre.class", "Java", -16, 0, 0, 0, 0, 0, 0, 0, 0, -16
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\Dorada.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\LubinaEuropea.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\SalmonAtlantico.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\TruchaArcoiris.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Abadejo.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\ArenqueAtlantico.class", "Java", -9, 0, 0, 0, 0, 0, 0, 0, 0, -9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Besugo.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Caballa.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Cobia.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Corvina.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\LenguadoEuropeo.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\LubinaRayada.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Robalo.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Rodaballo.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Sargo.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\Carpa.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\CarpaPlateada.class", "Java", -9, 0, 0, 0, 0, 0, 0, 0, 0, -9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\CarpinTresEspinas.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\Koi.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\LucioDelNorte.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\Pejerrey.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\PercaEuropea.class", "Java", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\SalmonChinook.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\SiluroEuropeo.class", "Java", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\TilapiaDelNilo.class", "Java", -9, 0, 0, 0, 0, 0, 0, 0, 0, -9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Piscifactoria$PiscifactoriaAdapter$1.class", "Java", -7, 0, 0, 0, 0, 0, 0, 0, 0, -7
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Piscifactoria$PiscifactoriaAdapter.class", "Java", -66, 0, 0, 0, 0, 0, 0, 0, -2, -68
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Piscifactoria.class", "Java", -62, 0, 0, 0, 0, 0, 0, 0, 0, -62
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\PiscifactoriaMar.class", "Java", -9, 0, 0, 0, 0, 0, 0, 0, 0, -9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\PiscifactoriaRio.class", "Java", -9, 0, 0, 0, 0, 0, 0, 0, 0, -9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Tanque$TanqueAdapter$1.class", "Java", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Tanque$TanqueAdapter.class", "Java", -26, 0, 0, 0, 0, 0, 0, 0, 0, -26
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Tanque.class", "Java", -87, 0, 0, 0, 0, 0, 0, 0, 0, -87
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueMar$TanqueAdapter.class", "Java", -44, 0, 0, 0, 0, 0, 0, 0, 0, -44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueMar.class", "Java", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueRio$TanqueAdapter.class", "Java", -44, 0, 0, 0, 0, 0, 0, 0, 0, -44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueRio.class", "Java", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\logs\a.log", "Log", 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\almacen_a.xml", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\almacen_b.xml", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\comida_5.xml", "XML", 0, 0, 0, 0, 0, -11, 0, 0, -2, -13
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\monedas_3.xml", "XML", 0, 0, 0, 0, 0, -11, 0, 0, -2, -13
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\pisci_m_b.xml", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\pisci_r_a.xml", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\tanque_m.xml", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\tanque_r.xml", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\ApoyoMenu.java", "Java", 20, 0, 0, 0, 0, 0, 0, -1, 2, 21
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Rewards.java", "Java", 262, 0, 0, 0, 0, 0, 0, 42, 11, 315
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Simulador.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"Total", "-", -1706, -10, -6197, -533, -29, -100, -5, -1501, -74, -10155
