"filename", "language", "Markdown", "HTML", "Java", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\SalmonAtlantico.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\TruchaArcoiris.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Abadejo.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\ArenqueAtlantico.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Besugo.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Caballa.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Cobia.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Corvina.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\LenguadoEuropeo.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\LubinaRayada.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Robalo.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Rodaballo.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesMar\Sargo.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\Carpa.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\CarpaPlateada.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\CarpinTresEspinas.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\Koi.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\LucioDelNorte.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\Pejerrey.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\PercaEuropea.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\SalmonChinook.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\SiluroEuropeo.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesRio\TilapiaDelNilo.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Piscifactoria$PiscifactoriaAdapter$1.class", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Piscifactoria$PiscifactoriaAdapter.class", "Java", 0, 0, 66, 0, 0, 0, 0, 0, 2, 68
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Piscifactoria.class", "Java", 0, 0, 62, 0, 0, 0, 0, 0, 0, 62
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\PiscifactoriaMar.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\PiscifactoriaRio.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Tanque$TanqueAdapter$1.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Tanque$TanqueAdapter.class", "Java", 0, 0, 26, 0, 0, 0, 0, 0, 0, 26
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\Tanque.class", "Java", 0, 0, 87, 0, 0, 0, 0, 0, 0, 87
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueMar$TanqueAdapter.class", "Java", 0, 0, 44, 0, 0, 0, 0, 0, 0, 44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueMar.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueRio$TanqueAdapter.class", "Java", 0, 0, 44, 0, 0, 0, 0, 0, 0, 44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\piscifactoria\TanqueRio.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\logs\a.log", "Log", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\almacen_a.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\almacen_b.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\comida_5.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\monedas_3.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\pisci_m_b.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
